Number,Type,Date_original,Date_number,Date,Name,Sex,Sex2,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_fire,Type_death,Impunity_for_murder,Taken_captive,Threatened,Tortured,
19,Motive Confirmed,"June 24, 2016",2016,"June 19, 2016",Elidio Ramos Zárate,Male,Male,Mexico,El Sur,Mexican,Print,Print Reporter,Crime,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
20,Motive Confirmed,"June 19, 2016",2016,,Rohat Aktaş,Male,Male,Turkey,Azadiya Welat,Turkish,Print,"Editor, Print Reporter","Politics, War",No,Local,Military Officials,Unknown,,,,"
",
22,Motive Confirmed,"June  5, 2016",2016,"June  5, 2016",Zabihullah Tamanna,Male,Male,Afghanistan,National Public Radio,Afghan,"Print, Radio, Internet",Producer,"Culture, Human Rights, Politics, War",Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
",
23,Motive Confirmed,"June  5, 2016",2016,"June  5, 2016",Osama Jumaa,Male,Male,Syria,Images Live,Syrian,"Television, Internet","Camera Operator, Photographer",War,No,Local,Government Officials,Crossfire/Combat-Related,,,,"
",
24,Motive Confirmed,"June  5, 2016",2016,"May 13, 2016",Rajdev Ranjan,Male,Male,India,Hindustan,Indian,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",
25,Motive Confirmed,"May 13, 2016",2016,"April 12, 2016",Zaher al-Shurqat,Male,Male,Turkey,Aleppo Today,Syrian,Internet,Broadcast,War,No,Foreign,Political Group,Murder,Yes,No,Yes,"No
",
26,Motive Confirmed,"April 12, 2016",2016,"March 21, 2016",Mohammed Ghalib al-Majidi,Male,Male,Yemen,Freelance,Yemeni,Internet,"Camera Operator, Photographer, Internet Reporter","Human Rights, Politics, War",Yes,Local,Political Group,Crossfire/Combat-Related,,,,"
",
27,Motive Confirmed,"March 21, 2016",2016,"February 19, 2016",Majid Dirani,Male,Male,Syria,Freelance,Syrian,Internet,"Camera Operator, Internet Reporter",War,Yes,Local,Government Officials,Crossfire/Combat-Related,,,,"
",
28,Motive Confirmed,"February 19, 2016",2016,"February 16, 2016",Ahmed al-Shaibani,Male,Male,Yemen,"Yaman News, Yemen TV",Yemeni,"Television, Internet","Camera Operator, Photographer, Internet Reporter",War,Yes,Local,Political Group,Crossfire/Combat-Related,,,,"
",
29,Motive Confirmed,"February 16, 2016",2016,"February 13, 2016",Karun Misra,Male,Male,India,Jansandesh Times,Indian,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,"Criminal Group, Local Residents",Murder,Yes,No,No,"No
",
30,Motive Confirmed,"February 13, 2016",2016,"February  5, 2016",El-Hadj Mohamed Diallo ,Male,Male,Guinea,"Guinée7, Afrik",Guinea,Internet,Internet Reporter,Politics,No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
",
31,Motive Confirmed,"February  5, 2016",2016,"January 22, 2016",Hashim al-Hamran,Male,Male,Yemen,Al-Masirah TV,Yemeni,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
32,Motive Confirmed,"January 22, 2016",2016,"January 21, 2016",Marcos Hernández Bautista ,Male,Male,Mexico,"Noticias, Voz e Imagen de Oaxaca",Mexico,"Print, Radio","Broadcast, Print Reporter","Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
33,Motive Confirmed,"January 21, 2016",2016,"January 17, 2016",Almigdad Mojalli,Male,Male,Yemen,Freelance,Yemeni,"Print, Internet","Broadcast, Print Reporter","Culture, Human Rights, Politics, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,,"No
",
34,Motive Confirmed,"January 17, 2016",2016,"January 12, 2016",Hassan al-Anbaki,Male,Male,Iraq,Al-Sharqiya,Iraq ,Television,Camera Operator,War,No,Local,Unknown Fire,Murder,Yes,No,No,"No
",
35,Motive Confirmed,"January 12, 2016",2016,"January 12, 2016",Saif Talal,Male,Male,Iraq,Al-Sharqiya ,Iraq,Television,Broadcast,War,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
36,Motive Confirmed,"January 12, 2016",2016,"December 27, 2015",Naji Jerf,Male,Male,Turkey,"Hentah, Raqqa is Being Slaughtered Silently",Syria,Internet,"Editor, Producer","Human Rights, Politics",No,Foreign,Political Group,Murder,Yes,No,Yes,"No
",
37,Motive Confirmed,"December 27, 2015",2015,"December 16, 2015",Ahmed Mohamed al-Mousa,Male,Male,Syria,Raqqa is Being Slaughtered Silently ,Syria,Internet,Editor,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
",
38,Motive Confirmed,"December 16, 2015",2015,"December  7, 2015",Zakaria Ibrahim,Male,Male,Syria,Al-Jazeera,Syrian,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
39,Motive Confirmed,"December  7, 2015",2015,"December  3, 2015",Hindia Haji Mohamed,Female,Female,Somalia,"Radio Mogadishu, Somali National TV",Somalia,"Radio, Television","Broadcast, Producer","Politics, War",No,Local,Political Group,Murder,No,No,No,"No
",
40,Motive Confirmed,"December  3, 2015",2015,"November 13, 2015",Guillaume Barreau-Decherf,Male,Male,France,Freelance ,France,Print,Print Reporter,Culture,Yes,Local,Political Group,Dangerous Assignment,,,,"
",
41,Motive Confirmed,"November 13, 2015",2015,"November 13, 2015",Ítalo Eduardo Diniz Barros,Male,Male,Brazil,Blog Ítalo Diniz,Brazil,Internet,Internet Reporter,Politics,No,Local,"Government Officials, Local Residents",Murder,Yes,No,Yes,"No
",
42,Motive Confirmed,"November 13, 2015",2015,"November 10, 2015",Israel Gonçalves Silva,Male,Male,Brazil,Rádio Itaenga FM,Brazil,Radio,Broadcast,Corruption,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",
43,Motive Confirmed,"November 10, 2015",2015,"November  6, 2015",Ahmed Abu al-Hamza,Male,Male,Syria,"SMART News Agency, Hama Media Center",Syria,Internet,"Camera Operator, Photographer",War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
44,Motive Confirmed,"November  6, 2015",2015,"November  3, 2015",Batoul Mokhles al-Warrar,Female,Female,Syria,Noor al-Sham,Syria,"Radio, Television",Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,,,,"
"
45,Motive Confirmed,"November  3, 2015",2015,"November  3, 2015",Zaman Mehsud,Male,Male,Pakistan,"Daily Ummat, Daily Nai Baat",Pakistan,Print,Print Reporter,"Human Rights, Politics",Yes,Local,Political Group,Murder,Yes,No,No,"No
",
46,Motive Confirmed,"November  3, 2015",2015,"November  1, 2015",Mustaf Abdi Noor ,Male,Male,Somalia,Freelance ,Somalia,"Television, Internet","Camera Operator, Photographer","Politics, War",Yes,Local,Political Group,Dangerous Assignment,,,,"
",
47,Motive Confirmed,"November  1, 2015",2015,"October 31, 2015",Faisal Arefin Dipan,Male,Male,Bangladesh,Jagriti Prokashoni ,Bangladesh,Print,Publisher,,No,Local,Political Group,Murder,Yes,No,Yes,"No
",
48,Motive Confirmed,"October 31, 2015",2015,"October 30, 2015",Fares Hamadi,Male,Male,Turkey,Eye on the Homeland,Syrian,"Print, Internet",Producer,"Corruption, Human Rights, Politics, War",No,Foreign,Political Group,Murder,Yes,No,Yes,"No
",
49,Motive Confirmed,"October 30, 2015",2015,"October 30, 2015",Ibrahim Abd al-Qader,Male,Male,Turkey,"Eye on the Homeland, Raqqa is Being Slaughtered Silently",Syrian,"Print, Internet",Editor,"Corruption, Human Rights, Politics, War",No,Foreign,Political Group,Murder,Yes,No,Yes,"No
",
50,Motive Confirmed,"October 30, 2015",2015,"October 27, 2015",Jomaa Al-Ahmad (Abu al-Nour al-Halabi),Male,Male,Syria,Shahba Press Agency,Syrian,Internet,"Broadcast, Camera Operator, Internet Reporter",War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
51,Motive Confirmed,"October 27, 2015",2015,"October 23, 2015",Wasem Aledel,Male,Male,Syria,Maarat Media Center,Syrian,"Television, Internet","Camera Operator, Photographer, Internet Reporter","Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
52,Motive Confirmed,"October 23, 2015",2015,"September 26, 2015",Obada Ghazal,Male,Male,Syria,SMART News Agency,Syria ,Television,"Camera Operator, Photographer, Internet Reporter",War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
53,Motive Confirmed,"September 26, 2015",2015,"September 17, 2015",Bilal Sharaf al-Deen,Male,Male,Yemen,Al-Masirah TV,Yemen,Television,Camera Operator,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
54,Motive Confirmed,"September 17, 2015",2015,"September 12, 2015",Yahya Abdul Hamid,Male,Male,Iraq,Radio Rasheed,Iraqi,Radio,Editor,"Corruption, Crime, Human Rights, Politics",No,Local,Political Group,Murder,Yes,Yes,No,"No
",
55,Motive Confirmed,"September 12, 2015",2015,"September 10, 2015",George Abanga,Male,Male,Ghana,"Success FM, Peace FM",Ghana,Radio,Broadcast,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No
",
56,Motive Confirmed,"September 10, 2015",2015,"September 10, 2015",Flor Alba Núñez Vargas,Female,Female,Colombia,Red Noticias and La Preferida Estereo,Colombia,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",
57,Motive Confirmed,"September 10, 2015",2015,"August 26, 2015",Adam Ward,Male,Male,USA,WDBJ7,USA,Television,Camera Operator,"Business, Corruption, Crime, Culture, Human Rights, Politics, Sports",No,Local,Local Residents,Dangerous Assignment,,,,"
",
58,Motive Confirmed,"August 26, 2015",2015,"August 26, 2015",Alison Parker,Female,Female,USA,WDBJ7,USA,Television,Broadcast,"Business, Corruption, Crime, Culture, Human Rights, Politics, Sports",No,Local,Local Residents,Dangerous Assignment,,,,"
",
59,Motive Confirmed,"August 26, 2015",2015,August 2015,Adel Sayegh ,Male,Male,Iraq,Salaheddin TV,Iraqi,Television,"Camera Operator, Photographer","Politics, War",No,Local,Political Group,Murder,Yes,Yes,,"
",
61,Motive Confirmed,"August  7, 2015",2015,"August  6, 2015",Gleydson Carvalho,Male,Male,Brazil,Radio Liberdade FM 90.3,Brazil,Radio,Broadcast,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,Yes,"No
",
62,Motive Confirmed,"August  6, 2015",2015,"July 31, 2015",Rubén Espinosa Becerril,Male,Male,Mexico,"Proceso, AVC Noticias, Cuartoscuro",Mexico,Print,Photographer,"Culture, Human Rights, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"Yes
",
63,Motive Confirmed,"July 31, 2015",2015,"July 27, 2015",Thaer al-Ajlani,Male,Male,Syria,Sham FM  al-Watan,Syria,"Print, Radio, Television","Broadcast, Camera Operator, Print Reporter",War,Yes,Local,Political Group,Crossfire/Combat-Related,,,,,"
"
64,Motive Confirmed,"July 27, 2015",2015,"July 15, 2015",Jalaa al-Abadi,Male,Male,Iraq,Nineveh Reporters Network,Iraq,Internet,"Camera Operator, Photographer","Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,Yes,Yes,"No
",
65,Motive Confirmed,"July 15, 2015",2015,"July  2, 2015",Filadelfo Sánchez Sarmiento,Male,Male,Mexico,La Favorita 103.3FM La Voz de la Sierra Sur,Mexico,"Print, Radio","Broadcast, Print Reporter",Politics,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
66,Motive Confirmed,"July  2, 2015",2015,"June 26, 2015",Mohammed al-Asfar,Male,Male,Syria,Al-Jazeera,Syria,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
67,Motive Confirmed,"June 26, 2015",2015,"June  8, 2015",Jagendra Singh,Male,Male,India,Freelance,India,"Print, Internet",Internet Reporter,"Corruption, Crime, Politics",Yes,Local,Government Officials,Murder,Yes,No,No,"Yes
",
68,Motive Confirmed,"June 14, 2015",2015,"May 31, 2015",Ammar al-Shami,Male,Male,Syria,Qasioun News ,Syria,Internet,Photographer,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
69,Motive Confirmed,"June  8, 2015",2015,,Djalma Santos da Conceição,Male,Male,Brazil,RCA FM,Brazil,Radio,Broadcast,"Corruption, Crime",No,Local,"Criminal Group, Government Officials",Murder,Yes,Yes,Yes,"Yes
",
70,Motive Confirmed,"May 31, 2015",2015,"May 21, 2015",Abdullah Qabil,Male,Male,Yemen,"Yemen Youth TV, Belqees TV",Yemen,Television,Broadcast,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,Yes,No,"No
",
72,Motive Confirmed,"May 21, 2015",2015,,Evany José Metzker,Male,Male,Brazil,Coruja do Vale,Brazil,Internet,Internet Reporter,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes
",
73,Motive Confirmed,"May 21, 2015",2015,"May 12, 2015",Ananta Bijoy Das,Male,Male,Bangladesh,Freelance,Bangladesh,"Print, Internet","Internet Reporter, Print Reporter","Culture, Human Rights, Politics",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
",
75,Motive Confirmed,"May 12, 2015",2015,"May  1, 2015",Firas al-Baher,Male,Male,Iraq,Nineveh al-Ghad,Iraqi,Television,"Producer, Technician",Politics,No,Local,Political Group,Murder,Yes,Yes,No,"No
",
77,Motive Confirmed,"May  1, 2015",2015,"April 29, 2015",Daud Ali Omar,Male,Male,Somalia,Radio Baidoa,Somalia,Television,"Broadcast, Producer","Culture, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
",
78,Motive Confirmed,"April 30, 2015",2015,"April 26, 2015",Thaer Al-Ali,Male,Male,Iraq,Rai al-Nas,Iraq,Print,Editor,"Corruption, Crime, Culture, Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,Yes,No,"No
",
79,Motive Confirmed,"April 29, 2015",2015,"April 22, 2015",Muftah al-Qatrani,Male,Male,Libya,Al-Anwar,Libya,Television,"Broadcast, Editor, Producer",War,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
80,Motive Confirmed,"April 26, 2015",2015,"April 20, 2015",Mohamed Shamsan,Male,Male,Yemen,Yemen Today,Yemen,Television,Broadcast,"Culture, Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
81,Motive Confirmed,"April 22, 2015",2015,"April 16, 2015",Humam Najjar (Abu Yazan al-Halabi),Male,Male,Syria,Aleppo Today,Syria,"Television, Internet","Broadcast, Internet Reporter","Human Rights, War",No,Local,Political Group,Crossfire/Combat-Related,,,,"
",
82,Motive Confirmed,"April 20, 2015",2015,"April 16, 2015",Soleil Balanga,Male,Male,Democratic Republic of the Congo,Radio Monkoto Soso Aleli,Democratic Republic of the Congo,Radio,Broadcast,"Culture, Politics",No,Local,Local Residents,Murder,No,No,No,"No
",
83,Motive Confirmed,"April 16, 2015",2015,"April  1, 2015",Jamal Khalifeh,Male,Male,Syria,Freelance,Syria,Internet,"Camera Operator, Photographer, Internet Reporter, Producer",War,Yes,Local,"Local Residents, Political Group",Crossfire/Combat-Related,,,,"
",
84,Motive Confirmed,"April 16, 2015",2015,"March 30, 2015",Washiqur Rahman Babu,Male,Male,Bangladesh,Freelance,Bangladesh,Internet,Internet Reporter,"Culture, Human Rights, Politics",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
",
85,Motive Confirmed,"April  1, 2015",2015,,Fadel al-Hadidi,Male,Male,Iraq,Mosul al-Youm  Sada al-Iraq,Iraq,Print,"Columnist, Editor, Print Reporter","Corruption, Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,Yes,No,"No
",
86,Motive Confirmed,"March 30, 2015",2015,"March 10, 2015",Danilo López,Male,Male,Guatemala,Prensa Libre,Guatemala,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,"Criminal Group, Government Officials",Murder,Yes,No,Yes,"No
",
88,Motive Confirmed,"March 10, 2015",2015,"March  5, 2015",Gerardo Ceferino Servían,Male,Male,Brazil,Ciudad Nueva FM ,Paraguay,Radio,Broadcast,Politics,No,Foreign,Government Officials,Murder,Yes,No,No,"No
",
89,Motive Confirmed,"March  8, 2015",2015,"February 28, 2015",Serhiy Nikolayev,Male,Male,Ukraine,Segodnya,Ukraine,Print,Photographer,"Human Rights, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
90,Motive Confirmed,"March  5, 2015",2015,"February 26, 2015",Avijit Roy,Male,Male,Bangladesh,Freelance,United States,"Print, Internet","Internet Reporter, Print Reporter","Culture, Human Rights, Politics",Yes,Foreign,Political Group,Murder,Yes,No,Yes,"No
",
91,Motive Confirmed,"February 28, 2015",2015,January 2015,Kenji Goto,Male,Male,Syria,Freelance,Japanese,"Television, Internet","Camera Operator, Photographer, Internet Reporter","Culture, Human Rights, Politics, War",Yes,Foreign,Political Group,Murder,Yes,Yes,No,"Yes
",
92,Motive Confirmed,"February 26, 2015",2015,"January 25, 2015",Randa George,Female,Female,South Sudan,Raja FM,South Sudan,Radio,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
",
93,Motive Confirmed,January 2015,2015,"January 25, 2015",Dalia Marko,Female,Female,South Sudan,Raja FM,South Sudan,Radio,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
",
94,Motive Confirmed,"January 25, 2015",2015,"January 25, 2015",Musa Mohamed,Male,Male,South Sudan,Raja FM,South Sudan,Radio,Editor,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
",
95,Motive Confirmed,"January 25, 2015",2015,"January 25, 2015",Boutros Martin,Male,Male,South Sudan,South Sudan Television,South Sudan,Television,Camera Operator,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
",
96,Motive Confirmed,"January 25, 2015",2015,"January 25, 2015",Adam Juma,Male,Male,South Sudan,Raja FM,South Sudan,Radio,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
",
97,Motive Confirmed,"January 25, 2015",2015,"January  7, 2015",Bernard Maris,Male,Male,France,Freelance,France,"Print, Internet",Columnist,Business,Yes,Local,Political Group,Murder,Partial,No,Yes,"No
",
98,Motive Confirmed,"January 25, 2015",2015,"January  7, 2015",Georges Wolinski,Male,Male,France,Charlie Hebdo,France,"Print, Internet",Columnist,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
",
99,Motive Confirmed,"January  7, 2015",2015,"January  7, 2015",Jean Cabut (Cabu),Male,Male,France,Charlie Hebdo,France,"Print, Internet",Columnist,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
",
100,Motive Confirmed,"January  7, 2015",2015,"January  7, 2015",Stephane Charbonnier (Charb),Male,Male,France,Charlie Hebdo,France,"Print, Internet",Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
",
101,Motive Confirmed,"January  7, 2015",2015,"January  7, 2015",Bernard Verlhac (Tignous),Male,Male,France,Freelance,France,"Print, Internet",Columnist,"Culture, Human Rights, Politics",Yes,Local,Political Group,Murder,Partial,No,Yes,"No
",
102,Motive Confirmed,"January  7, 2015",2015,"January  7, 2015",Elsa Cayat,Female,Female,France,Freelance,France,"Print, Internet",Columnist,Culture,Yes,Local,Political Group,Murder,Partial,No,Yes,"No
",
103,Motive Confirmed,"January  7, 2015",2015,"January  7, 2015",Moustapha Ourrad,Male,Male,France,Charlie Hebdo,France,"Print, Internet",Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
",
104,Motive Confirmed,"January  7, 2015",2015,"January  7, 2015",Philippe Honoré,Male,Male,France,Freelance,France,"Print, Internet",Columnist,"Culture, Human Rights, Politics",Yes,Local,Political Group,Murder,Partial,No,Yes,"No
",
105,Motive Confirmed,"January  7, 2015",2015,"January  4, 2015",Khaled al-Washli,Male,Male,Yemen,Al-Masirah TV,Yemen,Television,Broadcast,"Human Rights, Politics, War",No,Local,Political Group,Dangerous Assignment,,,,"
",
106,Motive Confirmed,"January  7, 2015",2015,"January  2, 2015",José Moisés Sánchez Cerezo ,Male,Male,Mexico,La Unión,Mexico,"Print, Internet","Internet Reporter, Print Reporter, Publisher","Corruption, Crime, Politics",No,Local,Government Officials,Murder,Yes,Yes,Yes,"Yes
",
107,Motive Confirmed,"January  4, 2015",2015,"December 23, 2014",Marcos de Barros Leopoldo Guerra,Male,Male,Brazil,Ubatuba Cobra,Brazil,Internet,Internet Reporter,"Corruption, Politics",No,Local,Political Group,Murder,Yes,No,Yes,"No
",
108,Motive Confirmed,"January  2, 2015",2015,"December 21, 2014",Zubair Hatami,Male,Male,Afghanistan,Mitra TV,Afghanistan,Television,Camera Operator,"Human Rights, Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
109,Motive Confirmed,"December 23, 2014",2014,"December 10, 2014",Mahran al-Deeri,Male,Male,Syria,Al-Jazeera,Syria,Internet,Internet Reporter,"Human Rights, Politics, War",No,Local,"Military Officials, Political Group",Crossfire/Combat-Related,,No,No,"No
",
110,Motive Confirmed,"December 21, 2014",2014,"December  8, 2014",Salem Khalil,Male,Male,Syria,Orient News,Syria,"Television, Internet",Broadcast,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
111,Motive Confirmed,"December 10, 2014",2014,"December  8, 2014",Rami Asmi,Male,Male,Syria,Orient News,Syria,"Television, Internet",Broadcast,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
112,Motive Confirmed,"December  8, 2014",2014,"December  8, 2014",Yousef el-Dous,Male,Male,Syria,Orient News,Syria,"Television, Internet",Broadcast,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
113,Motive Confirmed,"December  8, 2014",2014,"December  6, 2014",Luke Somers,Male,Male,Yemen,Freelance,American,"Print, Internet","Photographer, Editor","Culture, Human Rights, Politics",Yes,Foreign,Political Group,Murder,Partial,Yes,No,"No
",
114,Motive Confirmed,"December  8, 2014",2014,"December  5, 2014",Mohamed Isaq,Male,Male,Somalia,Kalsan TV,Somalia,Television,Camera Operator,"Culture, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
",
115,Motive Confirmed,"December  6, 2014",2014,"December  5, 2014",Abdulkadir Ahmed,Male,Male,Somalia,Freelance,Somalia,"Radio, Television",Broadcast,Politics,Yes,Local,Political Group,Murder,Yes,No,No,"No
",
116,Motive Confirmed,"December  5, 2014",2014,"November 26, 2014",MVN Shankar,Male,Male,India,Andhra Prabha,India,Print,Print Reporter,Corruption,No,Local,Criminal Group,Murder,Yes,No,No,"No
",
117,Motive Confirmed,"December  5, 2014",2014,"November 22, 2014",Zaher Mtawe'e,Male,Male,Syria,Zebdine Coordination Committee,Syria,Internet,"Camera Operator, Internet Reporter","Human Rights, Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
118,Motive Confirmed,"November 26, 2014",2014,"November 16, 2014",Abdirizak Ali Abdi,Male,Male,Somalia,Freelance,Somalia,"Radio, Television",Broadcast,Politics,Yes,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
119,Motive Confirmed,"November 22, 2014",2014,"October 16, 2014",Pablo Medina Velázquez,Male,Male,Paraguay,ABC Color,Paraguay,Print,Print Reporter,Crime,No,Local,"Criminal Group, Government Officials",Murder,Yes,No,Yes,"No
",
120,Motive Confirmed,"November 16, 2014",2014,"October 15, 2014",Atallah Bajbouj,Male,Male,Syria,Nabaa Media Foundation,Syria,Internet,"Camera Operator, Internet Reporter","Human Rights, Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
121,Motive Confirmed,"October 16, 2014",2014,"October  4, 2014","Aung Kyaw Naing, \""Par Gyi\",Male,Male,Myanmar,Freelance,Burmese,Print,"Photographer, Print Reporter","Human Rights, War",Yes,Local,Military Officials,Murder,Yes,Yes,No,"Yes
",
